problem_id,participant_id,decision_sim,certainty_sim
__P1__,DR_SSH_01,edible,moderately_uncertain
__P2__,DR_SSH_01,edible,cannot_assess
__P3__,DR_SSH_01,non-edible,moderately_certain
__P1__,DR_SSH_02,non-edible,moderately_uncertain
__P2__,DR_SSH_02,edible,moderately_certain
__P3__,DR_SSH_02,non-edible,cannot_assess
__P1__,DR_SSH_03,non-edible,moderately_uncertain
__P2__,DR_SSH_03,non-edible,cannot_assess
__P3__,DR_SSH_03,non-edible,moderately_uncertain
__P1__,DR_SSH_04,non-edible,definitely_uncertain
__P2__,DR_SSH_04,edible,cannot_assess
__P3__,DR_SSH_04,non-edible,definitely_certain
__P1__,DR_IT_05,non-edible,definitely_certain
__P2__,DR_IT_05,non-edible,cannot_assess
__P3__,DR_IT_05,non-edible,moderately_certain
__P1__,DR_SSH_06,non-edible,moderately_certain
__P2__,DR_SSH_06,edible,moderately_uncertain
__P3__,DR_SSH_06,non-edible,moderately_certain
__P1__,DR_SSH_07,non-edible,moderately_uncertain
__P2__,DR_SSH_07,edible,moderately_uncertain
__P3__,DR_SSH_07,non-edible,definitely_certain
__P1__,MK_SSH_02,non-edible,definitely_certain
__P2__,MK_SSH_02,non-edible,moderately_uncertain
__P3__,MK_SSH_02,non-edible,definitely_certain
__P1__,MK_IT_03,edible,cannot_assess
__P2__,MK_IT_03,non-edible,moderately_uncertain
__P3__,MK_IT_03,edible,cannot_assess
__P1__,MK_SSH_04,edible,definitely_uncertain
__P2__,MK_SSH_04,edible,definitely_uncertain
__P3__,MK_SSH_04,non-edible,definitely_certain
__P1__,MK_SSH_05,non-edible,cannot_assess
__P2__,MK_SSH_05,edible,moderately_uncertain
__P3__,MK_SSH_05,non-edible,definitely_uncertain
__P1__,MK_IT_06,edible,moderately_certain
__P2__,MK_IT_06,non-edible,definitely_uncertain
__P3__,MK_IT_06,non-edible,definitely_certain
__P1__,MK_SSH_07,non-edible,cannot_assess
__P2__,MK_SSH_07,non-edible,moderately_uncertain
__P3__,MK_SSH_07,edible,moderately_uncertain
__P1__,MW_SSH_01,edible,cannot_assess
__P2__,MW_SSH_01,non-edible,cannot_assess
__P3__,MW_SSH_01,non-edible,moderately_certain
__P1__,MW_IT_02,non-edible,cannot_assess
__P2__,MW_IT_02,non-edible,cannot_assess
__P3__,MW_IT_02,edible,definitely_uncertain
__P1__,MW_SSH_03,edible,definitely_certain
__P2__,MW_SSH_03,non-edible,moderately_uncertain
__P3__,MW_SSH_03,edible,moderately_certain
__P1__,MW_SSH_04,edible,moderately_uncertain
__P2__,MW_SSH_04,non-edible,moderately_certain
__P3__,MW_SSH_04,edible,definitely_certain
__P1__,MW_SSH_05,edible,moderately_certain
__P2__,MW_SSH_05,edible,definitely_certain
__P3__,MW_SSH_05,edible,definitely_certain
__P1__,MW_IT_06,edible,moderately_uncertain
__P2__,MW_IT_06,edible,moderately_uncertain
__P3__,MW_IT_06,non-edible,definitely_uncertain
__P1__,MW_IT_07,edible,cannot_assess
__P2__,MW_IT_07,edible,definitely_certain
__P3__,MW_IT_07,edible,definitely_uncertain
__P1__,MZ_SSH_02,edible,cannot_assess
__P2__,MZ_SSH_02,non-edible,definitely_certain
__P3__,MZ_SSH_02,non-edible,moderately_certain
__P1__,MZ_SSH_03,non-edible,definitely_certain
__P2__,MZ_SSH_03,edible,moderately_certain
__P3__,MZ_SSH_03,edible,moderately_certain
__P1__,MZ_SSH_04,edible,definitely_uncertain
__P2__,MZ_SSH_04,non-edible,definitely_certain
__P3__,MZ_SSH_04,edible,moderately_certain
__P1__,MZ_IT_05,edible,cannot_assess
__P2__,MZ_IT_05,edible,cannot_assess
__P3__,MZ_IT_05,edible,definitely_certain
__P1__,MZ_IT_06,non-edible,definitely_certain
__P2__,MZ_IT_06,edible,cannot_assess
__P3__,MZ_IT_06,non-edible,definitely_certain
__P1__,MZ_SSH_07,non-edible,cannot_assess
__P2__,MZ_SSH_07,edible,moderately_uncertain
__P3__,MZ_SSH_07,non-edible,moderately_certain
