real_dg,llm_dg,Agreeableness
0.0,150,3.0
120.0,100,2.5
130.0,150,4.0
74.0,150,3.5
115.0,200,6.5
210.0,250,5.0
200.0,150,4.5
150.0,150,2.5
200.0,150,5.0
0.0,150,4.5
150.0,150,4.0
200.0,150,4.0
199.0,200,6.0
140.0,200,6.0
200.0,200,4.5
200.0,200,5.0
0.0,150,3.5
227.0,150,5.5
0.0,200,5.5
0.0,200,4.5
160.0,200,6.0
200.0,200,5.0
201.0,150,4.5
200.0,200,4.5
200.0,200,4.5
150.0,200,4.5
10.0,150,4.5
240.0,150,4.0
200.0,200,4.5
200.0,150,5.0
190.0,180,5.0
67.0,150,3.5
200.0,200,4.5
33.0,200,6.5
164.0,150,5.0
100.0,200,3.5
200.0,150,2.5
200.0,160,4.5
200.0,200,3.0
0.0,200,5.0
0.0,100,5.5
200.0,150,4.0
75.0,150,4.0
0.0,250,4.5
0.0,150,4.5
0.0,100,3.0
0.0,200,6.0
0.0,200,5.5
200.0,200,4.0
280.0,250,6.5
113.0,200,6.0
200.0,250,6.0
100.0,150,3.5
200.0,200,5.5
0.0,200,3.5
282.0,200,6.0
200.0,250,6.0
200.0,150,3.5
200.0,200,4.5
300.0,150,4.0
200.0,200,7.0
0.0,200,4.5
0.0,150,5.5
80.0,150,4.0
159.0,200,6.0
200.0,250,5.5
200.0,150,4.0
152.0,150,4.0
200.0,200,6.0
0.0,200,4.0
198.0,200,4.5
100.0,150,3.0
198.0,300,6.5
200.0,250,6.0
200.0,200,4.0
156.0,200,4.0
81.0,200,5.0
200.0,200,5.0
0.0,200,5.5
117.0,100,4.0
180.0,230,4.5
100.0,220,4.0
200.0,200,4.5
200.0,250,5.0
100.0,200,4.0
200.0,150,6.5
280.0,200,5.5
79.0,200,4.5
200.0,250,6.5
201.0,200,5.0
200.0,250,6.0
160.0,200,5.0
200.0,70,4.0
200.0,200,4.0
200.0,150,4.5
100.0,300,7.0
0.0,200,4.5
200.0,150,7.0
160.0,150,4.0
100.0,150,3.5
200.0,250,6.5
200.0,200,4.0
115.0,100,4.0
200.0,200,6.0
200.0,250,6.0
67.0,260,5.0
200.0,150,6.5
127.0,320,6.0
200.0,150,4.0
200.0,250,6.0
150.0,150,4.5
160.0,200,6.0
100.0,150,4.5
250.0,300,7.0
158.0,150,5.5
80.0,250,6.0
200.0,200,4.5
134.0,250,6.0
300.0,200,7.0
200.0,100,6.0
140.0,150,3.5
100.0,200,5.0
200.0,200,4.0
200.0,150,3.5
200.0,200,5.5
200.0,200,6.5
0.0,150,3.5
41.0,150,3.5
200.0,200,5.5
200.0,250,5.0
160.0,200,6.5
200.0,200,5.5
200.0,200,5.5
200.0,200,6.0
241.0,200,4.0
110.0,250,5.0
200.0,200,5.5
200.0,150,4.5
100.0,200,5.0
200.0,200,6.0
200.0,200,5.0
200.0,200,4.5
200.0,250,7.0
150.0,250,6.5
200.0,300,7.0
200.0,150,6.0
200.0,200,3.5
115.0,250,6.0
200.0,200,5.5
